index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.262215,-0.511082,-1.20869,0.331024,-0.694462,-2.05005,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.263679,-0.509128,-1.21369,0.334635,-0.693383,-2.04876,-0.0292775,0.0390831,-0.1,0.072219,0.0215968,0.0256394,-0.292775,0.390831,-1,0.72219,0.215968,0.256394
2,0.2,-0.26808,-0.503271,-1.22869,0.34548,-0.690138,-2.0449,-0.0589672,0.077917,-0.199997,0.144945,0.0434252,0.0518639,-0.303821,0.384175,-0.999961,0.735785,0.222176,0.272066
3,0.3,-0.275521,-0.493574,-1.25368,0.363685,-0.68467,-2.03832,-0.090132,0.115838,-0.299989,0.219533,0.066073,0.0802193,-0.320627,0.373418,-0.999935,0.757723,0.231367,0.296914
4,0.4,-0.286173,-0.480148,-1.28868,0.389477,-0.676888,-2.02876,-0.123285,0.152404,-0.399978,0.296875,0.089776,0.111642,-0.343627,0.356625,-0.999921,0.791795,0.243136,0.334182
5,0.5,-0.300266,-0.463161,-1.33368,0.423196,-0.666672,-2.01585,-0.159055,0.186945,-0.499963,0.378317,0.114775,0.147486,-0.373048,0.33257,-0.999952,0.840575,0.257212,0.385971
6,0.6,-0.31809,-0.442855,-1.38868,0.465335,-0.653885,-1.99906,-0.198006,0.218581,-0.599942,0.465632,0.141186,0.189405,-0.407265,0.29784,-0.99978,0.910643,0.271139,0.456796
7,0.7,-0.33999,-0.419582,-1.45367,0.516601,-0.638388,-1.97769,-0.240643,0.246054,-0.699869,0.561313,0.168952,0.239601,-0.443965,0.245923,-0.989187,1.0001,0.282447,0.548386
8,0.8,-0.366237,-0.39395,-1.52833,0.577729,-0.620141,-1.95089,-0.283977,0.264567,-0.790565,0.661264,0.195449,0.297505,-0.420423,0.120048,-0.819612,1.00016,0.245067,0.611557
9,0.9,-0.396685,-0.367115,-1.61118,0.648855,-0.599444,-1.91797,-0.324274,0.269728,-0.86325,0.761253,0.217602,0.361806,-0.377145,-0.0258502,-0.621792,1.00007,0.190539,0.67538
10,1,-0.430908,-0.340522,-1.70027,0.729981,-0.576835,-1.87832,-0.359063,0.259396,-0.914893,0.861264,0.233335,0.432314,-0.314474,-0.184183,-0.406311,1.00015,0.120723,0.734062
11,1.1,-0.468229,-0.315803,-1.79338,0.821108,-0.553056,-1.83133,-0.385836,0.232082,-0.943391,0.961283,0.240715,0.508143,-0.215118,-0.36559,-0.159055,1.00007,0.0224728,0.779334
12,1.2,-0.507024,-0.295027,-1.88647,0.920359,-0.529442,-1.7776,-0.379738,0.177562,-0.894893,1,0.225054,0.55334,0.234969,-0.631671,0.854441,0.00029454,-0.264814,0.226764
13,1.3,-0.543777,-0.280384,-1.97176,1.02036,-0.508284,-1.72121,-0.354978,0.115814,-0.811563,1,0.197978,0.5737,0.25366,-0.599657,0.806955,0.000121567,-0.271761,0.183462
14,1.4,-0.577979,-0.271747,-2.04896,1.12036,-0.489855,-1.66301,-0.328997,0.0575829,-0.73361,1,0.170667,0.589765,0.262868,-0.564479,0.750598,0.000350247,-0.272582,0.139641
15,1.5,-0.609633,-0.268697,-2.11873,1.22036,-0.474127,-1.60331,-0.310223,0.00830556,-0.66721,1,0.144087,0.612854,-0.222949,-0.197069,0.339904,9.56699e-05,-0.263142,0.846184
16,1.6,-0.639494,-0.270322,-2.18218,1.32036,-0.461037,-1.54132,-0.286037,-0.0408677,-0.602226,1,0.117935,0.624606,0.247204,-0.479295,0.626502,0.000107665,-0.255224,0.0864815
17,1.7,-0.666894,-0.276726,-2.23939,1.42036,-0.450493,-1.47846,-0.262261,-0.0864998,-0.543056,1,0.0931929,0.632209,0.2297,-0.437592,0.563361,7.18811e-05,-0.241106,0.0683771
18,1.8,-0.692011,-0.287477,-2.29101,1.52036,-0.442352,-1.41493,-0.240386,-0.127855,-0.490299,1,0.0698262,0.638296,0.20896,-0.392316,0.495961,2.5386e-05,-0.228149,0.0556331
19,1.9,-0.715034,-0.302163,-2.33765,1.62036,-0.436491,-1.35083,-0.220399,-0.165187,-0.443364,1,0.047569,0.643614,0.190125,-0.352095,0.439339,2.41624e-05,-0.218593,0.0518434
20,2,-0.736149,-0.320388,-2.37986,1.72036,-0.432814,-1.28621,-0.20216,-0.198697,-0.401706,1,0.0260553,0.648835,0.17556,-0.31944,0.395622,8.1373e-05,-0.213235,0.0535611
21,2.1,-0.755517,-0.34178,-2.41815,1.82036,-0.431269,-1.22105,-0.185433,-0.228568,-0.36479,1,0.00483971,0.654574,0.161053,-0.28163,0.34778,1.81625e-05,-0.213015,0.0622047
22,2.2,-0.773274,-0.365988,-2.45296,1.92036,-0.431855,-1.15526,-0.169868,-0.255043,-0.33203,1,-0.016654,0.661414,0.152017,-0.251759,0.312374,4.07643e-06,-0.217735,0.0742452
23,2.3,-0.789518,-0.392676,-2.48468,2.02036,-0.434632,-1.08871,-0.155093,-0.278187,-0.303063,1,-0.0391094,0.66998,0.145497,-0.21563,0.272579,1.95107e-05,-0.232149,0.0963705
24,2.4,-0.804132,-0.42116,-2.51334,2.11915,-0.43966,-1.02201,-0.13385,-0.283297,-0.264019,0.950761,-0.059948,0.647224,0.272116,0.128235,0.498659,-1.00001,-0.165334,-0.571695
25,2.5,-0.816218,-0.44871,-2.53741,2.20922,-0.446412,-0.960151,-0.108464,-0.266581,-0.218763,0.850768,-0.0742957,0.589777,0.236432,0.197336,0.415665,-1.00007,-0.117621,-0.58328
26,2.6,-0.825933,-0.474276,-2.55734,2.2893,-0.454363,-0.904102,-0.0863337,-0.243887,-0.180758,0.750776,-0.083932,0.530894,0.206462,0.250199,0.35105,-1.00012,-0.0719079,-0.599052
27,2.7,-0.833581,-0.497344,-2.57375,2.35938,-0.463034,-0.854043,-0.0670922,-0.216874,-0.148212,0.650782,-0.088672,0.469877,0.178206,0.286004,0.304126,-1.00015,-0.0204346,-0.62466
28,2.8,-0.839442,-0.517548,-2.58712,2.41946,-0.471927,-0.810216,-0.0505493,-0.186781,-0.119811,0.550792,-0.0882996,0.406165,0.151918,0.311909,0.26789,-1.00017,0.0312976,-0.653627
29,2.9,-0.843779,-0.534632,-2.59781,2.46954,-0.480515,-0.772917,-0.036624,-0.154626,-0.0944934,0.450802,-0.082569,0.339259,0.12719,0.329587,0.240607,-1.00019,0.082747,-0.684987
30,3,-0.84685,-0.54843,-2.60609,2.50962,-0.488262,-0.74248,-0.0252009,-0.121161,-0.0714323,0.35078,-0.071483,0.268903,0.102713,0.33933,0.221498,-1.00018,0.135806,-0.719917
31,3.1,-0.848896,-0.55884,-2.61215,2.53969,-0.494645,-0.719247,-0.0160693,-0.0869608,-0.0499904,0.250777,-0.0554022,0.195215,0.0808875,0.344205,0.208333,-1.00015,0.183824,-0.752761
32,3.2,-0.850127,-0.565809,-2.61613,2.55977,-0.499203,-0.703533,-0.00881995,-0.0523805,-0.0296345,0.150763,-0.0351678,0.118663,0.0649563,0.346733,0.199756,-1.0001,0.219009,-0.77715
