index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,3.34274,0.58364,1.23984,-0.873103,2.25301,-1.44591,-0,-0,0,-0,0,0,0,0,0,0,0,0
1,0.1,3.34181,0.582176,1.24465,-0.878103,2.2534,-1.44357,-0.0186712,-0.0292672,0.0963027,-0.1,0.00777369,0.0469006,-0.186712,-0.292672,0.963027,-1,0.0777369,0.469006
2,0.2,3.33901,0.577807,1.25907,-0.893103,2.25456,-1.43652,-0.0373212,-0.0576803,0.191465,-0.200003,0.015288,0.0943051,-0.186167,-0.271061,0.934146,-1.00002,0.071174,0.481719
3,0.3,3.33435,0.570732,1.28282,-0.918104,2.25643,-1.42465,-0.0558795,-0.0832946,0.282906,-0.300012,0.0219229,0.143342,-0.184856,-0.239162,0.891932,-1.00008,0.0607926,0.500133
4,0.4,3.32784,0.561275,1.31548,-0.953105,2.2589,-1.40778,-0.0742134,-0.10511,0.369369,-0.400022,0.027229,0.194519,-0.181522,-0.194902,0.834427,-1.00002,0.0443373,0.524499
5,0.5,3.31952,0.549875,1.35648,-0.998108,2.26181,-1.38566,-0.0920987,-0.121961,0.449446,-0.500035,0.0305806,0.248381,-0.175826,-0.139943,0.764322,-1.00005,0.0216533,0.553706
6,0.6,3.30945,0.537082,1.40512,-1.05311,2.26493,-1.358,-0.109191,-0.132805,0.521997,-0.60005,0.0312044,0.305317,-0.165627,-0.0747533,0.683905,-1.00005,-0.0103143,0.585975
7,0.7,3.29877,0.524697,1.45568,-1.11225,2.26769,-1.32755,-0.0979701,-0.108187,0.459967,-0.5475,0.0226347,0.285272,0.195781,0.316772,-0.988301,0.999715,-0.0974391,-0.460542
8,0.8,3.28994,0.515353,1.49688,-1.162,2.26951,-1.30138,-0.0787182,-0.0797093,0.365203,-0.447499,0.0142075,0.237503,0.189228,0.256085,-0.911115,0.999791,-0.0720592,-0.49258
9,0.9,3.283,0.508577,1.52895,-1.20175,2.27062,-1.28014,-0.0601791,-0.0565925,0.277156,-0.347503,0.00822541,0.186995,0.181967,0.209023,-0.853057,0.999852,-0.0490015,-0.516036
10,1,3.27788,0.503899,1.55247,-1.2315,2.27123,-1.26405,-0.0423153,-0.0375223,0.194063,-0.247508,0.00430559,0.134504,0.175588,0.174702,-0.811629,0.999902,-0.0304445,-0.532503
11,1.1,3.27452,0.500978,1.56787,-1.25126,2.27153,-1.25328,-0.0249913,-0.0212742,0.114366,-0.147511,0.00193584,0.0806697,0.171127,0.152365,-0.784935,0.999945,-0.0178573,-0.543049
12,1.2,3.27287,0.499576,1.57543,-1.26101,2.27165,-1.24794,-0.00804435,-0.00682728,0.0368071,-0.047513,0.000608958,0.0259952,0.169309,0.143693,-0.774674,1,-0.0128167,-0.547117
13,1.24751,3.27268,0.499414,1.5763,-1.26214,2.27167,-1.24733,8.6257e-18,7.32067e-18,-3.9467e-17,5.09466e-17,-6.52966e-19,-2.78738e-17,0.169309,0.143693,-0.774674,1,-0.0128167,-0.547117
