index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.978006,-0.374142,0.0280349,0.538429,0.81719,0.0264527,0.203947,0,0
1,0.97772,-0.229744,0.028286,0.494127,0.80207,0.058109,0.330372,0.144398,0.144398
2,0.97772,-0.078398,0.028286,0.219786,0.904256,0.006742,0.366019,0.151346,0.295744
3,0.97772,0.072948,0.028286,-0.074251,0.925408,-0.04523,0.368866,0.151346,0.44709
4,0.97772,0.0759637,0.028286,-0.0772559,0.925675,-0.0456406,0.367524,0.00301566,0.450106
5,0.97772,0.0789793,0.028286,-0.0802635,0.925933,-0.0460511,0.366176,0.00301566,0.453121
6,0.97772,0.081995,0.028286,-0.0832734,0.926181,-0.0464616,0.364823,0.00301566,0.456137
7,0.97772,0.0850107,0.028286,-0.0862857,0.926419,-0.046872,0.363464,0.00301566,0.459153
8,0.97772,0.0880263,0.028286,-0.0893003,0.926646,-0.0472823,0.3621,0.00301566,0.462168
9,0.97772,0.091042,0.028286,-0.092317,0.926864,-0.0476925,0.36073,0.00301566,0.465184
10,0.97772,0.0940576,0.028286,-0.0953357,0.927071,-0.0481026,0.359355,0.00301566,0.4682
11,0.97772,0.0970733,0.028286,-0.0983564,0.927269,-0.0485126,0.357974,0.00301566,0.471215
12,0.97772,0.100089,0.028286,-0.101379,0.927456,-0.0489225,0.356588,0.00301566,0.474231
13,0.97772,0.103105,0.028286,-0.104403,0.927632,-0.0493321,0.355197,0.00301566,0.477247
14,0.97772,0.10612,0.028286,-0.107429,0.927799,-0.0497416,0.3538,0.00301566,0.480262
15,0.97772,0.109136,0.028286,-0.110457,0.927955,-0.0501509,0.352398,0.00301566,0.483278
16,0.97772,0.112152,0.028286,-0.113485,0.9281,-0.05056,0.350991,0.00301566,0.486294
17,0.97772,0.115167,0.028286,-0.116516,0.928235,-0.0509689,0.349579,0.00301566,0.489309
18,0.97772,0.118183,0.028286,-0.119547,0.92836,-0.0513776,0.348161,0.00301566,0.492325
19,0.97772,0.121199,0.028286,-0.12258,0.928474,-0.0517859,0.346739,0.00301566,0.495341
20,0.97772,0.124214,0.028286,-0.125613,0.928578,-0.0521941,0.345311,0.00301566,0.498356
21,0.97772,0.12723,0.028286,-0.128648,0.928671,-0.0526019,0.343878,0.00301566,0.501372
22,0.97772,0.130246,0.028286,-0.131683,0.928754,-0.0530095,0.34244,0.00301566,0.504388
23,0.97772,0.133261,0.028286,-0.134719,0.928826,-0.0534167,0.340997,0.00301566,0.507403
24,0.97772,0.136277,0.028286,-0.137756,0.928888,-0.0538236,0.33955,0.00301566,0.510419
25,0.97772,0.139293,0.028286,-0.140793,0.928939,-0.0542302,0.338097,0.00301566,0.513435
26,0.97772,0.142308,0.028286,-0.14383,0.928979,-0.0546365,0.336639,0.00301566,0.51645
27,0.97772,0.145324,0.028286,-0.146868,0.929008,-0.0550423,0.335177,0.00301566,0.519466
28,0.97772,0.14834,0.028286,-0.149906,0.929027,-0.0554478,0.33371,0.00301566,0.522482
29,0.97772,0.151355,0.028286,-0.152944,0.929035,-0.0558528,0.332238,0.00301566,0.525497
30,0.97772,0.154371,0.028286,-0.155982,0.929032,-0.0562575,0.330762,0.00301566,0.528513
31,0.97772,0.157387,0.028286,-0.15902,0.929019,-0.0566617,0.329281,0.00301566,0.531529
32,0.97772,0.160402,0.028286,-0.162058,0.928995,-0.0570655,0.327795,0.00301566,0.534544
33,0.97772,0.163418,0.028286,-0.165095,0.92896,-0.0574688,0.326305,0.00301566,0.53756
34,0.97772,0.166434,0.028286,-0.168132,0.928914,-0.0578717,0.32481,0.00301566,0.540576
35,0.97772,0.169449,0.028286,-0.171168,0.928857,-0.058274,0.323311,0.00301566,0.543591
36,0.97772,0.172465,0.028286,-0.174204,0.92879,-0.0586759,0.321807,0.00301566,0.546607
37,0.97772,0.175481,0.028286,-0.177238,0.928711,-0.0590772,0.320299,0.00301566,0.549623
38,0.97772,0.178496,0.028286,-0.180272,0.928622,-0.059478,0.318787,0.00301566,0.552638
39,0.97772,0.181512,0.028286,-0.183305,0.928522,-0.0598783,0.31727,0.00301566,0.555654
40,0.97772,0.184528,0.028286,-0.186337,0.928411,-0.060278,0.315749,0.00301566,0.55867
41,0.97772,0.187543,0.028286,-0.189368,0.928289,-0.0606771,0.314224,0.00301566,0.561685
42,0.97772,0.190559,0.028286,-0.192397,0.928157,-0.0610756,0.312695,0.00301566,0.564701
43,0.97772,0.193575,0.028286,-0.195425,0.928013,-0.0614735,0.311162,0.00301566,0.567717
44,0.97772,0.19659,0.028286,-0.198451,0.927859,-0.0618708,0.309625,0.00301566,0.570732
45,0.97772,0.199606,0.028286,-0.201475,0.927693,-0.0622674,0.308084,0.00301566,0.573748
46,0.97772,0.202622,0.028286,-0.204498,0.927517,-0.0626634,0.306538,0.00301566,0.576764
47,0.97772,0.205637,0.028286,-0.207519,0.92733,-0.0630588,0.30499,0.00301566,0.579779
48,0.97772,0.208653,0.028286,-0.210538,0.927132,-0.0634534,0.303437,0.00301566,0.582795
49,0.97772,0.211669,0.028286,-0.213555,0.926923,-0.0638474,0.30188,0.00301566,0.585811
50,0.97772,0.214684,0.028286,-0.21657,0.926703,-0.0642407,0.30032,0.00301566,0.588826
51,0.97772,0.2177,0.028286,-0.219582,0.926472,-0.0646332,0.298756,0.00301566,0.591842
52,0.97772,0.220716,0.028286,-0.222592,0.926231,-0.065025,0.297189,0.00301566,0.594858
53,0.97772,0.223731,0.028286,-0.2256,0.925978,-0.0654161,0.295618,0.00301566,0.597873
54,0.97772,0.226747,0.028286,-0.228605,0.925715,-0.0658064,0.294043,0.00301566,0.600889
55,0.97772,0.229762,0.028286,-0.231607,0.925441,-0.0661959,0.292465,0.00301566,0.603905
56,0.97772,0.232778,0.028286,-0.234606,0.925156,-0.0665846,0.290884,0.00301566,0.60692
57,0.97772,0.235794,0.028286,-0.237603,0.92486,-0.0669725,0.289299,0.00301566,0.609936
58,0.97772,0.238809,0.028286,-0.240596,0.924553,-0.0673596,0.287712,0.00301566,0.612952
59,0.97772,0.241825,0.028286,-0.243587,0.924235,-0.0677459,0.286121,0.00301566,0.615967
60,0.97772,0.244841,0.028286,-0.246574,0.923907,-0.0681313,0.284526,0.00301566,0.618983
61,0.97772,0.247856,0.028286,-0.249557,0.923568,-0.0685159,0.282929,0.00301566,0.621999
62,0.97772,0.250872,0.028286,-0.252538,0.923218,-0.0688996,0.281329,0.00301566,0.625014
63,0.97772,0.253888,0.028286,-0.255514,0.922858,-0.0692824,0.279725,0.00301566,0.62803
64,0.97772,0.256903,0.028286,-0.258487,0.922486,-0.0696643,0.278119,0.00301566,0.631046
65,0.97772,0.259919,0.028286,-0.261457,0.922104,-0.0700453,0.27651,0.00301566,0.634061
66,0.97772,0.262935,0.028286,-0.264422,0.921712,-0.0704254,0.274898,0.00301566,0.637077
67,0.97772,0.26595,0.028286,-0.267384,0.921308,-0.0708046,0.273283,0.00301566,0.640093
68,0.97772,0.268966,0.028286,-0.270341,0.920894,-0.0711828,0.271666,0.00301566,0.643108
