index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.259921,-0.500757,-1.2328,0.359061,-0.698559,-2.02998,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.261453,-0.498811,-1.2378,0.362652,-0.697434,-2.02874,-0.0306285,0.0389183,-0.1,0.0718149,0.0224982,0.0248992,-0.306285,0.389183,-1,0.718149,0.224982,0.248992
2,0.2,-0.266071,-0.492988,-1.2528,0.373451,-0.694045,-2.02497,-0.0619135,0.077431,-0.199995,0.144413,0.0453744,0.0506993,-0.317692,0.381209,-0.999987,0.734584,0.231864,0.267683
3,0.3,-0.273878,-0.483355,-1.2778,0.391596,-0.688334,-2.01853,-0.0944997,0.115028,-0.299987,0.218866,0.0690126,0.0785923,-0.333074,0.36947,-0.999912,0.758723,0.24091,0.294656
4,0.4,-0.285035,-0.470031,-1.3128,0.417322,-0.680207,-2.00915,-0.12905,0.151167,-0.399976,0.296205,0.0937341,0.109667,-0.359972,0.352421,-0.999967,0.789193,0.254274,0.327899
5,0.5,-0.299769,-0.453194,-1.3578,0.450985,-0.669544,-1.99644,-0.166146,0.185133,-0.49996,0.377864,0.119772,0.145346,-0.389739,0.326871,-0.999877,0.838664,0.268792,0.379883
6,0.6,-0.31836,-0.433109,-1.41279,0.49311,-0.656207,-1.97986,-0.206238,0.215956,-0.599938,0.465854,0.147211,0.187499,-0.424216,0.289424,-0.999925,0.912147,0.283053,0.452927
7,0.7,-0.34111,-0.410153,-1.47773,0.544379,-0.640073,-1.9587,-0.249269,0.241169,-0.697146,0.560793,0.175457,0.237654,-0.466008,0.132226,-0.851629,1.00007,0.283229,0.605546
8,0.8,-0.368167,-0.385113,-1.55194,0.60533,-0.621185,-1.93217,-0.291916,0.257315,-0.784362,0.65905,0.201893,0.294755,-0.429979,-0.0344442,-0.628451,1.00009,0.231541,0.687247
9,0.9,-0.399398,-0.359092,-1.6341,0.676235,-0.599828,-1.89954,-0.331986,0.260916,-0.855905,0.759058,0.224382,0.358755,-0.391112,0.143836,-0.854425,1.00002,0.237091,0.577591
10,1,-0.434373,-0.333525,-1.72232,0.757142,-0.576544,-1.86018,-0.366671,0.249028,-0.906666,0.85907,0.240454,0.4287,-0.363732,0.0395493,-0.71874,1.00015,0.196964,0.613857
11,1.1,-0.472437,-0.310052,-1.8144,0.848048,-0.552075,-1.81354,-0.392275,0.217402,-0.929409,0.956673,0.246905,0.503287,0.33339,-0.441881,1.00045,-0.624437,-0.269751,-0.214916
12,1.2,-0.510276,-0.291436,-1.90239,0.942541,-0.528795,-1.76274,-0.36383,0.154712,-0.829996,0.933071,0.218199,0.512157,0.263745,-0.815664,1.00009,0.14811,-0.320882,0.380015
13,1.3,-0.545015,-0.278858,-1.98034,1.03403,-0.508492,-1.71168,-0.330283,0.0975298,-0.728814,0.895,0.187616,0.507315,0.373727,-0.331033,1.00055,-0.871547,-0.272358,-0.437994
14,1.4,-0.576247,-0.271627,-2.04825,1.12105,-0.491253,-1.66174,-0.293733,0.0480097,-0.62909,0.843109,0.157063,0.48961,0.385035,-0.254395,0.980278,-0.99961,-0.260206,-0.545303
15,1.5,-0.603723,-0.268825,-2.10632,1.20201,-0.476999,-1.61431,-0.255889,0.00998808,-0.533545,0.773949,0.128533,0.457052,0.412489,-0.503974,1.00104,-0.493558,-0.330747,-0.177361
16,1.6,-0.628637,-0.268987,-2.15862,1.28145,-0.465612,-1.56566,-0.252764,-0.0181207,-0.529619,0.840867,0.109249,0.521392,-0.029419,-0.550391,0.0675178,1.00005,-0.147075,0.725213
17,1.7,-0.654264,-0.272871,-2.21209,1.37054,-0.45513,-1.51003,-0.259176,-0.0605932,-0.538529,0.940874,0.0997095,0.591278,-0.0115657,-0.475898,-0.0142048,1.00003,-0.135591,0.707244
18,1.8,-0.680083,-0.281347,-2.2655,1.46879,-0.445943,-1.44792,-0.250664,-0.107382,-0.515981,1,0.0813786,0.635561,0.219481,-0.415071,0.529745,7.27478e-05,-0.234095,0.0608082
19,1.9,-0.704002,-0.294088,-2.31451,1.56879,-0.438988,-1.38406,-0.228203,-0.146734,-0.465409,1,0.0579765,0.641429,0.222598,-0.374746,0.48184,0.000146483,-0.231844,0.0566732
20,2,-0.725818,-0.310557,-2.35879,1.66879,-0.434302,-1.31966,-0.20848,-0.182005,-0.421023,1,0.0359027,0.646657,0.18073,-0.333771,0.413958,8.96762e-06,-0.214349,0.0508942
21,2.1,-0.745772,-0.330364,-2.39889,1.76879,-0.431782,-1.25473,-0.190929,-0.213539,-0.381928,1,0.0145775,0.651984,0.16607,-0.298845,0.368152,8.89083e-05,-0.211319,0.0557352
22,2.2,-0.764063,-0.353149,-2.43533,1.86879,-0.43138,-1.18923,-0.175131,-0.241592,-0.347453,1,-0.00656361,0.658051,0.154651,-0.265336,0.327059,1.98895e-05,-0.21385,0.0663587
23,2.3,-0.780847,-0.378574,-2.46852,1.96879,-0.433108,-1.12307,-0.16067,-0.266371,-0.317025,1,-0.0281569,0.665472,0.147116,-0.232993,0.290223,7.31248e-06,-0.223115,0.0831438
24,2.4,-0.796234,-0.40632,-2.49885,2.06879,-0.437048,-1.05607,-0.147084,-0.288034,-0.290155,1,-0.0509637,0.674891,0.144329,-0.201645,0.257406,2.87592e-05,-0.240757,0.106686
25,2.5,-0.809785,-0.434938,-2.52566,2.16506,-0.443087,-0.990566,-0.12278,-0.279604,-0.244188,0.913617,-0.068465,0.62724,0.257528,0.16318,0.458078,-1.00004,-0.14981,-0.571181
26,2.6,-0.820894,-0.46198,-2.54794,2.25142,-0.450579,-0.930721,-0.0999423,-0.260233,-0.202571,0.813626,-0.0806013,0.56944,0.201306,0.220341,0.37936,-1.00011,-0.0931931,-0.586187
27,2.7,-0.829863,-0.486808,-2.56639,2.32778,-0.459052,-0.876735,-0.0799977,-0.235605,-0.167247,0.71358,-0.0880234,0.509955,0.19956,0.270233,0.329228,-1.00014,-0.0573366,-0.602816
28,2.8,-0.83696,-0.508972,-2.58155,2.39414,-0.468029,-0.828805,-0.0624944,-0.207161,-0.136684,0.613585,-0.0906086,0.4482,0.152412,0.297277,0.284482,-1.00018,0.00426206,-0.632247
29,2.9,-0.842387,-0.528142,-2.59383,2.4505,-0.477023,-0.787195,-0.0462598,-0.17585,-0.109524,0.513541,-0.0884517,0.383432,0.145882,0.322037,0.256004,-1.00019,0.050652,-0.664894
30,3,-0.846292,-0.544085,-2.60354,2.49685,-0.485539,-0.752233,-0.0324465,-0.1428,-0.0851387,0.413539,-0.0808742,0.3152,0.128602,0.33748,0.232748,-1.00019,0.101067,-0.69981
