index,time_from_start,position_0(joint1),position_1(joint2),position_2(joint3),position_3(joint4),position_4(joint5),position_5(joint6),velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,acceleration_0,acceleration_1,acceleration_2,acceleration_3,acceleration_4,acceleration_5
0,0,-0.269377,-0.503094,-1.24193,0.356073,-0.679718,-2.05126,-0,0,-0,0,0,0,0,0,0,0,0,0
1,0.1,-0.270891,-0.501146,-1.24693,0.359703,-0.678647,-2.04992,-0.0302805,0.0389489,-0.1,0.072594,0.0214152,0.0267407,-0.302805,0.389489,-1,0.72594,0.214152,0.267407
2,0.2,-0.275457,-0.495318,-1.26193,0.370621,-0.675423,-2.04587,-0.0612266,0.0774961,-0.199994,0.146034,0.0431852,0.0544776,-0.315668,0.381398,-0.999983,0.744374,0.221501,0.289159
3,0.3,-0.283183,-0.485678,-1.28692,0.388978,-0.669984,-2.03894,-0.0935193,0.115135,-0.299985,0.221488,0.0656871,0.084543,-0.329214,0.370166,-0.999937,0.769155,0.228516,0.316855
4,0.4,-0.294222,-0.472338,-1.32192,0.41502,-0.662255,-2.02885,-0.12766,0.151365,-0.399973,0.299939,0.0890893,0.117946,-0.35545,0.353588,-0.999926,0.801208,0.240178,0.352555
5,0.5,-0.308792,-0.455476,-1.36692,0.449123,-0.65213,-2.01518,-0.164245,0.185474,-0.499956,0.382969,0.113608,0.156303,-0.375499,0.326623,-0.999938,0.865394,0.249748,0.420226
6,0.6,-0.327163,-0.435347,-1.42191,0.491842,-0.639496,-1.99735,-0.20375,0.216516,-0.599933,0.472649,0.139278,0.201566,-0.417702,0.292319,-0.999797,0.930342,0.263864,0.48625
7,0.7,-0.349599,-0.412351,-1.48677,0.543829,-0.624275,-1.97464,-0.245417,0.241298,-0.695159,0.568278,0.16499,0.254844,-0.388174,0.291767,-0.999976,0.946005,0.249616,0.495604
8,0.8,-0.376195,-0.387288,-1.56071,0.60557,-0.606568,-1.94624,-0.286468,0.256911,-0.779857,0.66722,0.188535,0.315302,-0.408157,-0.0348276,-0.597577,1.00004,0.19684,0.71807
9,0.9,-0.406777,-0.361254,-1.64236,0.677292,-0.586696,-1.91145,-0.324531,0.261467,-0.850011,0.767228,0.208032,0.381528,-0.334908,-0.23027,-0.328267,1.00023,0.112545,0.798656
10,1,-0.440904,-0.335653,-1.72981,0.759016,-0.565218,-1.86966,-0.357083,0.248997,-0.896984,0.867243,0.220603,0.454614,-0.236262,-0.441397,-0.0375275,1.00006,0.00856758,0.868946
11,1.1,-0.477943,-0.312054,-1.82095,0.850741,-0.54286,-1.82034,-0.382668,0.221116,-0.923215,0.967256,0.225459,0.531941,-0.319886,-0.0631332,-0.56532,1.00016,0.123893,0.663368
12,1.2,-0.516256,-0.292468,-1.91157,0.950139,-0.520945,-1.76446,-0.37509,0.166692,-0.870443,0.999475,0.207934,0.572915,0.338194,-0.41407,1.00043,-0.712609,-0.2626,-0.317304
13,1.3,-0.552656,-0.278823,-1.99455,1.05006,-0.501462,-1.70621,-0.353041,0.106598,-0.790604,1,0.181778,0.592192,0.0561494,-0.277072,0.340948,5.27817e-05,-0.107552,0.0647018
14,1.4,-0.586886,-0.27092,-2.06996,1.15001,-0.484537,-1.64628,-0.331394,0.0513937,-0.71796,0.999372,0.156545,0.606091,0.344637,-0.815972,1.00005,0.137755,-0.381965,0.293073
15,1.5,-0.619025,-0.268573,-2.13844,1.24998,-0.469845,-1.58512,-0.310023,-0.00569044,-0.651443,1,0.138689,0.61657,0.224028,-0.274513,0.404083,2.08465e-05,-0.174072,0.0741193
16,1.6,-0.648536,-0.271643,-2.20018,1.34995,-0.457368,-1.52295,-0.281063,-0.0548141,-0.585129,1,0.111378,0.626683,0.307384,-0.475747,0.649042,7.42824e-05,-0.2784,0.0947664
