index,x,y,z,qx,qy,qz,qw,distance_from_prev,cumulative_distance
0,0.769237,-0.38134,0.135566,0.722614,0.631965,0.103935,0.260089,0,0
1,0.769234,-0.378425,0.135582,0.718818,0.635765,0.10314,0.261658,0.00291535,0.00291535
2,0.769231,-0.37551,0.135597,0.714993,0.639551,0.10234,0.263222,0.00291535,0.00583071
3,0.769228,-0.372594,0.135612,0.711139,0.643322,0.101535,0.264779,0.00291535,0.00874606
4,0.769225,-0.369679,0.135627,0.707256,0.647079,0.100726,0.266331,0.00291535,0.0116614
5,0.769222,-0.366764,0.135642,0.703345,0.65082,0.0999127,0.267875,0.00291535,0.0145768
6,0.769219,-0.363848,0.135657,0.699405,0.654545,0.0990948,0.269414,0.00291535,0.0174921
7,0.769216,-0.360933,0.135673,0.695438,0.658253,0.0982726,0.270945,0.00291535,0.0204075
8,0.769213,-0.358018,0.135688,0.691443,0.661945,0.0974462,0.27247,0.00291535,0.0233228
9,0.76921,-0.355102,0.135703,0.68742,0.66562,0.0966156,0.273988,0.00291535,0.0262382
10,0.769207,-0.352187,0.135718,0.683371,0.669277,0.0957809,0.275498,0.00291535,0.0291535
11,0.769204,-0.349272,0.135733,0.679295,0.672915,0.0949422,0.277001,0.00291535,0.0320689
12,0.769201,-0.346356,0.135748,0.675192,0.676536,0.0940995,0.278497,0.00291535,0.0349842
13,0.769198,-0.343441,0.135764,0.671063,0.680137,0.093253,0.279984,0.00291535,0.0378996
14,0.769195,-0.340526,0.135779,0.666909,0.683719,0.0924027,0.281464,0.00291535,0.0408149
15,0.769192,-0.337611,0.135794,0.662729,0.687282,0.0915486,0.282935,0.00291535,0.0437303
16,0.769189,-0.334695,0.135809,0.658525,0.690824,0.0906908,0.284398,0.00291535,0.0466457
17,0.769186,-0.33178,0.135824,0.654296,0.694346,0.0898295,0.285853,0.00291535,0.049561
18,0.769183,-0.328865,0.135839,0.650042,0.697846,0.0889647,0.287299,0.00291535,0.0524764
19,0.76918,-0.325949,0.135855,0.645765,0.701326,0.0880965,0.288737,0.00291535,0.0553917
20,0.769177,-0.323034,0.13587,0.641464,0.704784,0.087225,0.290165,0.00291535,0.0583071
21,0.769174,-0.320119,0.135885,0.63714,0.708219,0.0863502,0.291584,0.00291535,0.0612224
22,0.769171,-0.317203,0.1359,0.632794,0.711633,0.0854722,0.292994,0.00291535,0.0641378
23,0.769168,-0.314288,0.135915,0.628425,0.715023,0.0845911,0.294395,0.00291535,0.0670531
24,0.769165,-0.311373,0.13593,0.624034,0.71839,0.0837071,0.295786,0.00291535,0.0699685
25,0.769162,-0.308457,0.135946,0.619622,0.721734,0.0828201,0.297168,0.00291535,0.0728838
26,0.769159,-0.305542,0.135961,0.61519,0.725054,0.0819304,0.29854,0.00291535,0.0757992
27,0.769156,-0.302627,0.135976,0.610736,0.72835,0.0810379,0.299901,0.00291535,0.0787145
28,0.769153,-0.299711,0.135991,0.606263,0.731621,0.0801427,0.301253,0.00291535,0.0816299
29,0.76915,-0.296796,0.136006,0.60177,0.734868,0.079245,0.302594,0.00291535,0.0845452
30,0.769147,-0.293881,0.136021,0.597257,0.738089,0.0783448,0.303925,0.00291535,0.0874606
31,0.769144,-0.290966,0.136037,0.592726,0.741285,0.0774423,0.305246,0.00291535,0.0903759
32,0.769141,-0.28805,0.136052,0.588177,0.744455,0.0765375,0.306556,0.00291535,0.0932913
33,0.769138,-0.285135,0.136067,0.58361,0.747599,0.0756305,0.307855,0.00291535,0.0962067
34,0.769134,-0.28222,0.136082,0.579026,0.750717,0.0747214,0.309144,0.00291535,0.099122
35,0.769131,-0.279304,0.136097,0.574425,0.753808,0.0738103,0.310421,0.00291535,0.102037
36,0.769128,-0.276389,0.136112,0.569808,0.756872,0.0728974,0.311688,0.00291535,0.104953
37,0.769125,-0.273474,0.136128,0.565175,0.75991,0.0719826,0.312943,0.00291535,0.107868
38,0.769122,-0.270558,0.136143,0.560527,0.762919,0.0710661,0.314187,0.00291535,0.110783
39,0.769119,-0.267643,0.136158,0.555863,0.765902,0.070148,0.31542,0.00291535,0.113699
40,0.769116,-0.264728,0.136173,0.551186,0.768856,0.0692283,0.316641,0.00291535,0.116614
41,0.769113,-0.261812,0.136188,0.546495,0.771783,0.0683072,0.317851,0.00291535,0.119529
42,0.76911,-0.258897,0.136203,0.54179,0.774681,0.0673849,0.319049,0.00291535,0.122445
43,0.769107,-0.255982,0.136219,0.537073,0.777551,0.0664612,0.320235,0.00291535,0.12536
44,0.769104,-0.253066,0.136234,0.532343,0.780392,0.0655365,0.321409,0.00291535,0.128276
45,0.769101,-0.250151,0.136249,0.527602,0.783204,0.0646107,0.322572,0.00291535,0.131191
46,0.769098,-0.247236,0.136264,0.522849,0.785988,0.0636839,0.323723,0.00291535,0.134106
47,0.769095,-0.244321,0.136279,0.518086,0.788742,0.0627563,0.324861,0.00291535,0.137022
48,0.769092,-0.241405,0.136294,0.513312,0.791467,0.061828,0.325988,0.00291535,0.139937
49,0.769089,-0.23849,0.13631,0.508529,0.794162,0.060899,0.327102,0.00291535,0.142852
50,0.769086,-0.235575,0.136325,0.503737,0.796828,0.0599694,0.328204,0.00291535,0.145768
51,0.769083,-0.232659,0.13634,0.498936,0.799464,0.0590394,0.329294,0.00291535,0.148683
52,0.76908,-0.229744,0.136355,0.494127,0.80207,0.058109,0.330372,0.00291535,0.151598
53,0.76908,-0.226833,0.136355,0.489265,0.804715,0.0571695,0.331338,0.0029105,0.154509
54,0.76908,-0.223923,0.136355,0.484379,0.807339,0.0562266,0.332294,0.0029105,0.157419
55,0.76908,-0.221013,0.136355,0.479469,0.809941,0.0552803,0.333241,0.0029105,0.16033
56,0.76908,-0.218102,0.136355,0.474536,0.81252,0.0543308,0.334179,0.0029105,0.16324
57,0.76908,-0.215192,0.136355,0.46958,0.815076,0.0533781,0.335107,0.0029105,0.166151
58,0.76908,-0.212281,0.136355,0.464602,0.817609,0.0524223,0.336025,0.0029105,0.169061
59,0.76908,-0.209371,0.136355,0.459602,0.820118,0.0514635,0.336934,0.0029105,0.171972
60,0.76908,-0.20646,0.136355,0.45458,0.822603,0.0505018,0.337832,0.0029105,0.174882
61,0.76908,-0.203549,0.136355,0.449537,0.825064,0.0495373,0.338721,0.0029105,0.177793
62,0.76908,-0.200639,0.136355,0.444473,0.8275,0.0485699,0.339599,0.0029105,0.180703
63,0.76908,-0.197729,0.136355,0.439389,0.829912,0.0476,0.340467,0.0029105,0.183614
64,0.76908,-0.194818,0.136355,0.434286,0.832298,0.0466274,0.341324,0.0029105,0.186524
65,0.76908,-0.191908,0.136355,0.429163,0.834658,0.0456524,0.342171,0.0029105,0.189435
66,0.76908,-0.188997,0.136355,0.424021,0.836993,0.044675,0.343007,0.0029105,0.192345
67,0.76908,-0.186086,0.136355,0.41886,0.839301,0.0436953,0.343832,0.0029105,0.195256
68,0.76908,-0.183176,0.136355,0.413682,0.841583,0.0427134,0.344646,0.0029105,0.198166
69,0.76908,-0.180265,0.136355,0.408486,0.843838,0.0417294,0.345449,0.0029105,0.201077
70,0.76908,-0.177355,0.136355,0.403273,0.846066,0.0407434,0.346241,0.0029105,0.203987
71,0.76908,-0.174445,0.136355,0.398044,0.848267,0.0397555,0.347021,0.0029105,0.206898
72,0.76908,-0.171534,0.136355,0.392799,0.85044,0.0387658,0.347791,0.0029105,0.209808
73,0.76908,-0.168624,0.136355,0.387539,0.852585,0.0377743,0.348548,0.0029105,0.212719
74,0.76908,-0.165713,0.136355,0.382263,0.854702,0.0367813,0.349295,0.0029105,0.215629
75,0.76908,-0.162803,0.136355,0.376974,0.85679,0.0357867,0.350029,0.0029105,0.21854
76,0.76908,-0.159892,0.136355,0.37167,0.85885,0.0347907,0.350752,0.0029105,0.22145
77,0.76908,-0.156981,0.136355,0.366353,0.860881,0.0337934,0.351463,0.0029105,0.224361
78,0.76908,-0.154071,0.136355,0.361023,0.862884,0.0327949,0.352163,0.0029105,0.227271
79,0.76908,-0.15116,0.136355,0.355682,0.864856,0.0317953,0.35285,0.0029105,0.230182
80,0.76908,-0.14825,0.136355,0.350328,0.8668,0.0307947,0.353525,0.0029105,0.233092
81,0.76908,-0.14534,0.136355,0.344963,0.868714,0.0297932,0.354189,0.0029105,0.236003
82,0.76908,-0.142429,0.136355,0.339588,0.870597,0.0287908,0.35484,0.0029105,0.238913
83,0.76908,-0.139518,0.136355,0.334202,0.872451,0.0277878,0.355479,0.0029105,0.241824
84,0.76908,-0.136608,0.136355,0.328808,0.874275,0.0267841,0.356105,0.0029105,0.244734
85,0.76908,-0.133697,0.136355,0.323404,0.876069,0.02578,0.35672,0.0029105,0.247645
86,0.76908,-0.130787,0.136355,0.317992,0.877832,0.0247754,0.357322,0.0029105,0.250555
87,0.76908,-0.127877,0.136355,0.312572,0.879564,0.0237706,0.357912,0.0029105,0.253466
88,0.76908,-0.124966,0.136355,0.307144,0.881266,0.0227656,0.358489,0.0029105,0.256376
89,0.76908,-0.122055,0.136355,0.30171,0.882937,0.0217605,0.359054,0.0029105,0.259287
90,0.76908,-0.119145,0.136355,0.29627,0.884577,0.0207554,0.359606,0.0029105,0.262197
91,0.76908,-0.116234,0.136355,0.290825,0.886186,0.0197504,0.360146,0.0029105,0.265108
92,0.76908,-0.113324,0.136355,0.285374,0.887764,0.0187456,0.360673,0.0029105,0.268018
93,0.76908,-0.110413,0.136355,0.279919,0.889311,0.0177412,0.361188,0.0029105,0.270929
94,0.76908,-0.107503,0.136355,0.274461,0.890826,0.0167372,0.36169,0.0029105,0.273839
95,0.76908,-0.104593,0.136355,0.268999,0.892311,0.0157337,0.362179,0.0029105,0.27675
96,0.76908,-0.101682,0.136355,0.263534,0.893764,0.0147308,0.362656,0.0029105,0.27966
97,0.76908,-0.0987715,0.136355,0.258067,0.895185,0.0137286,0.363121,0.0029105,0.282571
98,0.76908,-0.095861,0.136355,0.252599,0.896575,0.0127273,0.363572,0.0029105,0.285481
99,0.76908,-0.0929505,0.136355,0.247129,0.897934,0.0117269,0.364012,0.0029105,0.288392
100,0.76908,-0.09004,0.136355,0.241659,0.899261,0.0107275,0.364438,0.0029105,0.291302
101,0.76908,-0.0871295,0.136355,0.236189,0.900557,0.00972921,0.364852,0.0029105,0.294213
102,0.76908,-0.084219,0.136355,0.23072,0.901821,0.00873213,0.365254,0.0029105,0.297123
103,0.76908,-0.0813085,0.136355,0.225252,0.903054,0.00773637,0.365643,0.0029105,0.300034
104,0.76908,-0.078398,0.136355,0.219786,0.904256,0.006742,0.366019,0.0029105,0.302944
105,0.76908,-0.0754875,0.136355,0.214313,0.905428,0.0057474,0.366383,0.0029105,0.305855
106,0.76908,-0.072577,0.136355,0.208823,0.906573,0.00475096,0.366737,0.0029105,0.308765
107,0.76908,-0.0696665,0.136355,0.203318,0.90769,0.00375277,0.367078,0.0029105,0.311676
108,0.76908,-0.066756,0.136355,0.197798,0.908779,0.00275293,0.367409,0.0029105,0.314586
109,0.76908,-0.0638455,0.136355,0.192263,0.90984,0.00175153,0.367727,0.0029105,0.317497
110,0.76908,-0.060935,0.136355,0.186715,0.910872,0.000748663,0.368035,0.0029105,0.320407
111,0.76908,-0.0580245,0.136355,0.181152,0.911876,-0.000255568,0.36833,0.0029105,0.323318
112,0.76908,-0.055114,0.136355,0.175577,0.91285,-0.00126107,0.368613,0.0029105,0.326228
113,0.76908,-0.0522035,0.136355,0.169989,0.913796,-0.00226774,0.368885,0.0029105,0.329139
114,0.76908,-0.049293,0.136355,0.164388,0.914712,-0.00327549,0.369145,0.0029105,0.332049
115,0.76908,-0.0463825,0.136355,0.158777,0.915599,-0.00428421,0.369392,0.0029105,0.33496
116,0.76908,-0.043472,0.136355,0.153154,0.916456,-0.00529381,0.369628,0.0029105,0.33787
117,0.76908,-0.0405615,0.136355,0.147521,0.917283,-0.00630419,0.369851,0.0029105,0.340781
118,0.76908,-0.037651,0.136355,0.141878,0.91808,-0.00731524,0.370062,0.0029105,0.343691
119,0.76908,-0.0347405,0.136355,0.136226,0.918847,-0.00832686,0.370261,0.0029105,0.346602
120,0.76908,-0.03183,0.136355,0.130565,0.919584,-0.00933895,0.370448,0.0029105,0.349512
121,0.76908,-0.0289195,0.136355,0.124896,0.92029,-0.0103514,0.370622,0.0029105,0.352423
122,0.76908,-0.026009,0.136355,0.119219,0.920965,-0.0113641,0.370784,0.0029105,0.355333
123,0.76908,-0.0230985,0.136355,0.113535,0.92161,-0.012377,0.370933,0.0029105,0.358244
124,0.76908,-0.020188,0.136355,0.107845,0.922224,-0.01339,0.37107,0.0029105,0.361154
125,0.76908,-0.0172775,0.136355,0.102148,0.922807,-0.0144029,0.371195,0.0029105,0.364065
126,0.76908,-0.014367,0.136355,0.0964463,0.923359,-0.0154157,0.371307,0.0029105,0.366975
127,0.76908,-0.0114565,0.136355,0.0907397,0.92388,-0.0164282,0.371406,0.0029105,0.369886
128,0.76908,-0.008546,0.136355,0.0850288,0.924369,-0.0174404,0.371493,0.0029105,0.372796
129,0.76908,-0.0056355,0.136355,0.0793142,0.924828,-0.0184521,0.371567,0.0029105,0.375707
130,0.76908,-0.002725,0.136355,0.0735966,0.925255,-0.0194633,0.371629,0.0029105,0.378617
131,0.76908,0.0001855,0.136355,0.0678764,0.925651,-0.0204738,0.371678,0.0029105,0.381528
132,0.76908,0.003096,0.136355,0.0621544,0.926015,-0.0214835,0.371714,0.0029105,0.384438
133,0.76908,0.0060065,0.136355,0.056431,0.926348,-0.0224924,0.371738,0.0029105,0.387349
134,0.76908,0.008917,0.136355,0.0507069,0.926649,-0.0235003,0.37175,0.0029105,0.390259
135,0.76908,0.0118275,0.136355,0.0449826,0.926919,-0.0245071,0.371748,0.0029105,0.39317
